title,text,rating
I'll tell you AFTER I've tried them.,I miss the bunny with the drum.,3
The camera is awful!,Unable to download the Instagram app. which stinks,3
Slow! Don't waste you money!,"I bought 2 of the Amazon Fire tablets because the sales guy said that they were great and ran really fast. I have very fast internet and this thing just barely chugs along. If you play a game, it constantly stalls and freezes. The sound quality when I play music is terrible. I was planning on buying one for each of my 9 nieces and nephews if they ran well but now I know that wouldn't work for them because they are horrible.",1
Five Stars,Great value for the money.,5
No No NO!!!!!!,we will never buy any more!!!! they suck!!!!!,1
Kindle Fire 8,"I received this as a gift after my original Kindle Fire started giving me trouble after 4 1/2 years and wouldn't hold a charge. This new Kindle Fire 8 is fantastic! The larger size makes it easier to read. The ""buttons"" are better than the old one. I like that is has more ""perks"", i.e. camera, that my old one didn't have. It's nice to be able to read, play games, browse the internet, or check email or take photos. The battery lasts for days! I definitely recommend this.",5
Great kids tablet,I have 3 autistic kids and is great cause they can be rough .,3
A good cheap tablet.,"I bought this as a gift to my parents. The unfortunate part was that I was a little misinformed about the connectivity between the tablet and a chrome cast that I purchases as well as part of the gift. The tablet is not compatible with the table and that was a little disappointing. Other than that, it's an alright product.",3
Good price,"Serves the purpose for which it was bought, ; I.e. Facebook",3
Easy to use,Bought this for my 1year 7 months he loves it so much,5
Hard to open!,They are packaged by 4s and the plastic is really hard to get off.,3
Don't last long,Great deal price wise but don't seem to last very long at all. So really not a good deal at all. Would not buy again.,1
Three Stars,Seems to work well,3
"So, I now have an angry 2 year old ...","So, I now have an angry 2 year old. A broken new toy. And batteries that I cannot trust. I put new batteries in the toy and it stopped working a couple days later. I opened it up to find some batteries leaked also ruining the toy.Edit: Amazon has made since replaced the batteries for me.",1
I like it,I purchased this item for my 7yr old daughter. We like it but we can't get the pictures of the apps to show,3
Just ok,It is just an average tablet. Bit slow but is a good option for people on budget,3
non functional!!!,horrible...just like the other 7 i have owned ONLY due to warranties,1
Not really statisfied with features,Dont have option for password ask you before buying apps once you authorized as allow its done.Not as many free good apps Like apple have it,1
These are as bad as batteries can get.,"Do not use these in any techy gadget, including remote controls, keyboards, and especially cameras!",1
... what is going to happen with my charger not satisfied with the,3 of them exploted and damage my charger that I bought here what is going to happen with my charger not satisfied with the batteries,1
Great starter for the 5-7 y/o,"Great starter to teach young children how to play games with parental control of what game,movie or music sites. And the plastic protector case is included",5
Three Stars,I like how i got so many itd months later and i still got a pack left!!,3
Five Stars,Great deal and good batteries.,5
The remote lasted for like a week,"I was excited about the prices of these batteries, however you get what you pay for. These batteries are awful. I've used them in toys, remotes, and flashlights. The remote lasted for like a week! I used the flashlight for a few minutes and that's all the use I got out of them. I unsubscribed to this item. No thanks.",1
I mean.. batteries They work.,I mean..batteries They work.,3
Great,We love these batteries!,5
Loses WI Fi Constantly,"The amazon tablet is priced amazingly. However, the tablet needs to be restarted constantly to find a WiFi connection.",3
Short life,They really don't last very long,3
Okay,"Great for first time tablet, but more advanced options available",3
Five Stars,Work great.,5
Wish it had more,I do like the Fire Tablet - but I feel that if it is going to have a camera it should have been a better camera. The internet works but I find it takes a while to load. I have read a book on it but - I prefer to use my original paper white - that can be read in any lighting including outside. But for what it is and the price it was - its a good product.,3
I purchased these for the office as everyone has an ...,"I purchased these for the office as everyone has an Apple mouse that uses AA batteries. I found myself changing batteries on my mouse almost every month with these batteries. Yes they work, but not for long. We purchased these in September and we blew through these in 2.5 months with 16 employees. With Duracell batteries, which I purchased again, they last much longer, several months instead of just one month.",3
Great tablet for kids,Great tablet for kids they love it it is also great that you can download music and movies through Amazon Prime,5
Three Stars,So far they have worked well. I do not know how to compare them on quality yet.,3
worked fine,ok for the price,3
Not like other android tablets,This is not like other android tablets in a bad way.,1
Easy to use,This was purchased for my mom who is not a computer person. It is very easy for her to use.,5
Not impressed with the last 2 Kindles.,"The last 2 models of Kindle HDX 8 have been terrible. We have purchased 2 of each model of Kindle and up until the last 2 models, they have been great. Last years had to be replaced 7 or 8 times and for the same problem. The slot for the SD card is defective. I gave up and bought the newest model. It shuts completely down if you try to plug it in to external speakers and sometimes it shuts down for no reason. It's going back after the first of the year. This is going to be my last year for Kindles unless they make them the same quality as before. Phooey!",1
Amazon is amazing,"For the price it can't be beat. That being said I had to return mine after a week. I just couldn't get over the low resolution screen. It works well for movies and the Web, but I needed it to also show off my photos to others.",3
Five Stars,Great price for that many battery's they last along time,5
Kindle Fire HD8,This is my 4 the Kindle and is well worth the price.,5
Three Stars,Does not last long,3
Great for my child,Loved it! Great product for my 10 year old son!!!!,3
I don't know who made these batteries but they are ...,I don't know who made these batteries but they are worthless. They do not hold a charge.I WILL NOT BUY AGAIN.,1
Great tablet,Well made and profrssional looking. Operating manual clear and complete.,5
Five Stars,they work,5
amazon fire hd8,meh. it works. i find it difficult to navigate. i also have an ipad mini. this seems to be less intuitive than the ipad.,3
Quality batteries for great price!,Batteries are so expensive. It's great that Amazon came out with their own brand that is cost effective and has great quality! I've only used a few of them so far but they are definitely long lasting! Will reorder again.,5
Disappointed,Don't bother. The AA's I bought got remotes last a third as long as everready batteries.,1
all of them where dead wouldn't run anything,all dead,1
Good value.,Did not last as long as expected but good value for price.,3
Super Nice Tablet,"I bought two of these Fire Tablets for gifts for my sons. They are both thrilled with the features. They use them for gaming, music, photo albums, emails and online activities. The HD is what sold me. I have a Kindle Fire 2nd generation and I enjoyed mine so much since 2012, I looked into getting this one.",5
ok,bought this during black friday (actually Thursday). ok for price. but not cool i had to buy extra storage for not a great price.,3
Five Stars,"good batteries for the price, no better deal around",5
Perfect Tab,"This is one of the perfect tab for kids, I bought it for my niece and she loved it.",3
good starter tablet,"I bought this for my 8year old son, he loves it just has very limited games on it",3
There is a santa,"I bought this for my special needs son. He keeps kissing it saying,"" I love you tablet"". Could not be happier. Setup is a breeze. Very easy forkids to use and enjoy.",5
Five Stars,Great cost and great batteries,5
Still prefer iPad or android tablet,"Works well. But does not offer access to the apple or android App Store. Without the apps that I need, this tablet is not as useful.",3
Three Stars,They dont last long but they are cheap,3
"Purchase a new one, stay away from the refurbished fire tv.","Stay away from the certified refurbished Amazon Fire TV. I received two Certified Refurbished defective fire TVs. The first the screen looked half corrupted, see the pictures. The second Certified Refurbished Amazon fire tv I received would not boot up, it was stuck in an infinite loop where I would only see the amazon logo for 10 seconds then it would boot up again.If anything, Amazon needs to re-visit its refurbishment process and quality control of the refurbished products they let get in consumer hands.Update 11/28/16: I purchased a new Fire TV during the BF sale and I have had no issues so far :).",1
"WORST PURCHASE OF BATTERIES IN HISTORY, BUYER BEWARE!","I will never purchase batteries online ever again! I should have never believed that this is Unique Japanese technology that enables better performance after storage, over-discharge, and high temperatures, because frankly IT DID NOT EVEN LAST FOR TWO DAYS FOR MY DIGITAL CLOCK THAT HAS FOUR PLACEMENTS OF AAA BATTERIES. At first I believed it was a bad batch of a four pack batteries, no problem, THEN, a week and a half has passed and I had to change the batteries for my clock FIVE TIMES! I hope this review will convince you (the reader) to never purchase these batteries, I know they are not that expensive and I shouldn't make a big deal out of it, but it is frustrating to see the seller LIE MORE THAN ONCE, took their sweet a** time to deliver it to the buyer (about a month in waiting), and never sent any form of confirmation in purchasing their product. Well that's that, have a good one!",1
I never leave negative reviews as I am generally satisfied. But logged back in just to do it,They do not last at all! I never leave negative reviews as I am generally satisfied. But logged back in just to do it! They are awful!!!,1
Kids need credit card?,"Bought this for my young son, because of the warranty. You are required to have a credit card stored in the account, and to turn on parental controls it blocks other features too like Alexa. This is the most ridiculous setup ever.",1
great tablet,"This was the perfect tablet for what my husband wanted. 8"" size was not too big or too small. You can carry it without it being clumsy to drop.",5
Three Stars,This is OK purchased as battery does not last long with cost paid.,3
Slow but durable,Kindle fire is slow but love the fact my child is protected from some internet content,3
It's good for shopping... on Amazon,"Get this for shopping and fun, not for productivity. This is an inexpensive tablet chocked full of bloatware and ads. I got it for the wife and she uses it to play mini games and shop, and that's what it's meant for so mission accomplished.The GOOD: It's cheap. Fairly good battery life. Fairly decent screen. Quick charge time.The BAD: It always has some sort of advertising for amazon shopping - annoying at times. Sound quality is terrible. Made of super slippy material, hard to hold; get a case for this or you will drop it; often. Amazon only apps. No android or IOS apps will work with this. It's kinda slow. No YouTube.Overall: If you need a simple tablet for light web browsing, shopping, music, movies, reading and small games then this will work fine. As a primary productivity tablet, forget it. Get something way more robust than this.",3
Its an ok tablet.,"My kids really like this and if your buying a tablet for kids it's worth it, but maybe not so great for adults.",3
Great tablet for a simple user,"I love how thin it is. I previously had the Samsung Galaxy tab 2 and honestly I like this one better. Its simple, has a beautiful user interface, and it multitasks well. The battery life is great. Very loud speakers to be a tablet. Its much different from an iPad or Android tablet, it took a little bit of exploring to fully figure everything out, and the settings are more limited but it works for what I need. The only con I've found so far is that the Appstore is more limited than Apple or Google Play but I haven't had a problem finding similar apps.",5
Pretty annoying!,"I have had mine for about 6 months, now 2 won't last mare than a week in my TV remote. Pretty annoying!",1
Difficult to navigate,It's difficult to navigate and not user friendly. I was hoping for better results,3
Dead batteries for 10,All the batteries came dead. None of them worked. Don't bother buying these.,1
Great tablet,Amazing video quality easy to maneuver wonderful screen size easy set up,5
Five Stars,Great,5
One Star,Batteries very week. Would Not Work IN Several devices.,1
Worth the money. Very fun for the kids,My daughter bought this with her birthday money. She loves it and is always playing it.,5
"Ok for reading, not so much for browsing","good for reading books. light, handy but not so much for browsing.",3
ok tablet for a small child,The sleek design and colors available for small kids is good. The tablet is a nice price and useful.,3
batteries don't last long! Not a good Value,This batteries have been disappointing. Use them for holiday decorations and some of the items that used to go for weeks are not requiring batteries every couple of days.,1
My nieces love it,"This is a great tablet for kids, the protective bumper pad really does help. The unlimited warranty gives piece of mind as with kids anything will break. Finally the 1 yr unlimited warranty to Amazon for shows and movies the kids can watch. Awesome deal for the price.",5
waste of money,"Waste of money,You tube does not work on these tablets,so everything from there old tablet does not work on the new ones,so going back to the old ones and sending these back",1
I love it,I like the ipad its very helpful my son has learned alot and i hope that it will help other kids too as they prepare for pre k,3
Love kids mode,I absolutely love how u. An switch from dif accounts,3
works great,work great thank you,5
Three Stars,Battery's charge ran out very quickly.,3
One Star,they do not last at all would love to get my money refunded.,1
Kids 1st tablet approved,Great beginner tablet for kids I would recommend it,3
One Star,took WAY to long to receive. and then some were corroded.,1
Ok for your remote.,"I recently bought these to use in my Streamlight Microstream flashlight. I've carried one every day for the past 4 years and I love them. I say them because I'm on my 6th one maybe. It's my fault, really. I lose them very easily for some reason. Anyway, these batteries are average at best. I generally get copper tops or energizers and was looking for an economical equivalent. This isn't it. I find myself replacing the battery in my flashlight more often than I used to. These batteries might be ok for your tv remote or battery powered clock but I'd pass if you need them for anything you rely on.",3
"For what they are, great buy!","It's not a high discharge battery, but for typical uses such wireless mouse and flashlights, these are great.",5
Great price.,Great price for these alkaline batteries. Being that they are AAA there is not much of a power drain for devices like remote control. I found that the AA amazon basic batteries will not last as long as as you named brand alkaline batteries.,3
Not as I expected,"I bought 20 and I used 9 in three Motorola Walkabouts radios.One the second use, after only two hours use on first, a battery failed. I was shocked at this. It made my Walkabout useless for the child-safety reason I bought it.Noqw I cannot trust the rest and I will use then in unimportant places like toys.",3
Awesome batteries!,"These batteries are a great deal! The price is very reasonable and the life of the batteries are just as good as any major brand. Now that I have tried these out, I will purchase the amazon brand for all my future battery needs.",5
One Star,Batteries die super fast!,1
Three Stars,TV Clicker about 2 months,3
"Batteries are great, price isn't the best","Batteries are great, price isn't the best. I've seen similar packs of generic batteries for cheaper. Wegmans comes to mind..",3
I have never been so disappointed with a product,"I have never been so disappointed with a product. The battery life is horrible. When used in my camera, I can get maybe five standard-non zoom pictures before the camera shuts down and states the batteries need replaced. When used in tv remotes, the battery life is maybe a week. It is the same with the Amazon AAA batteries too. I will not be repurchasing again.",1
Great,We are a big fan of this tablet. The cost was great and if we ever do run out of space for whatever reason we can purchase more.,5
Amazon is on Fire,The Amazon FIre Tablet is awesome. My daughter loves it very much. It is very easy to access and download your apps. The settings functions are very easy to use and program.,5
Awful,Not good,1
Do not buy!!!,Bought these batteries thinking they were a good price. I have two deodorizer devices that spray a tiny amount every :20 minutes. I put these batteries in one and a brand name in the other. The name brand batteries have not been changed yet ant these batteries have gone through 4 pairs. Name brand are cheaper in the long run,1
Great starter tablet,Great starter tablet without the big cost. Does everything I need.,5
Too may preloaded useless apps,"This Kindle is so overloaded with apps that I will never use. Despite what one of Best Buys' associates said, you cannot remove any of the Amazon apps. The apps take up too much of the memory. I have an I Pad and love but bought this as a backup for work. Unfortunately, it bogs down. I also don't like that Amazon wants access to too much info to set up email, so I won't use this for emails either. I will likely sell it on Craig's List for less than half of what I paid for it.",1
Fast Charger,Bought this charger for the Kindle voyage and its great.,5
Not what I was expecting.,I was hoping to find something universal to as a tablet but you get what you pay for.,3
Three Stars,I don't feel Amazon brand batteries are as powerful as other brands.,3
Great tablet,The Amazon fire is simply amazing I would not buy anything else.,5
Kids Tablet,It was ok. You need Internet. The SDmini is a hassle.,3
hmm,"I'm not sure if these are the same Amazon Basics batteries I purchased last time, the label is different. More importantly these seem to discharge faster or hold less power. I buy the 48 count box usually and its obvious to me already this box will last maybe half the time the last box did.",1
A good cheap tablet.,"I bought this as a gift to my parents. The unfortunate part was that I was a little misinformed about the connectivity between the tablet and a chrome cast that I purchases as well as part of the gift. The tablet is not compatible with the table and that was a little disappointing. Other than that, it's an alright product.",3
Fits perfectly in my hand,I wish it has some more of the apps from the play store some are just not there,3
Waste of money,Slow response. Wait 5 sec to turn a page. Frustrating. Best Buy says too bad so sad for me.,1
Too many pop up ads,We found there to be too many pop up ads and returned it.,3
Easy to use but limited,"Easy to use but more limited than a more powerful tablet such as a Galaxy or iPad. Video conferencing is rather difficult to do in my experience. However if you read digital books, watch videos, or listen to music it works well and the stereo sound with the larger versions is really nice.",3
C...R....A...P!!!,I can only think of one way to describe this item...JUNK!!!,1
Disappointing,"These batteries literally only last 15 minutes inside of each device I put them in. When I researched the product, they told me the only way was to spend 50 on the recharger for these batteries. I personally do not buy batteries to have to spend more than what I spent on them in whole to have to buy a whole other product to recharge them. Worst amazon product I ever wasted my money on",1
I like it,I purchased this item for my 7yr old daughter. We like it but we can't get the pictures of the apps to show,3
Small screen for books and videos,"The tablet itself was nice, but the screen was to small for books, videos, and minecraft.",3
dead,This thing lasted not even a month before it went dead. Going to try and take it back,1
One Star,"Not universal. Did not work on garage door opener, given as gift but now cannot return.",1
Great,"Ordered it for a friend so that he could do his bible study, n play games n read books . He loves it",5
Best Batteries EVER,Best Battery Deal! They last as long as Duracell and Energizer!,5
Product very tarnished and rusty like it's been used or very old,Trying to contact seller. Product very tarnished and rusty like it's been used or very old. Very disappointed by appearance and quality,1
Five Stars,"No complaints, so far they've all worked. We'll see how long they last.",5
Will not last long,These batteries only last 2-3 days in my tv remote,1
Three Stars,ok,3
Confused,The protector was not made for the Fire 7 as it was to large and had no directions that were coherent. Worse purchase from Best Buy ever.,1
Most other Amazon Basic products I have gotten have been great. Batteries have been beyond sub par so far,More than 1/2 have been dead out of the box. Most other Amazon Basic products I have gotten have been great. Batteries have been beyond sub par so far.,1
Great job!,So many kid friendly apps for my 1 year old! She loves this thing!,5
Don't last,These are terrible. Don't last Put then in various items and their life is only 1/2 half of a Duracell,1
Three Stars,Find these batteries have to be replaced more frequently than other bands when used in the same application/device.,3
Product is of bad quality. I had two leaking in 2 months after installing.,This is sth i never had with other serious brands. disappointing and returning,1
SAVE YOUR MONEY - GARBAGE PRODUCT,Junk...save your money... totally useless batteries that last hours if that.,1
Nice!,Much better screen resolution than my 7 inch fire.,5
I have never had problems with the Amazon brand batteries ...,"I have never had problems with the Amazon brand batteries before until this time around. I use these for battery operated candles and normally 3 AAA batteries will last in my candle a couple of weeks on a timer. I replaced the batteries 2 days ago with these batteries in 3 separate candles and all three candles do not work less than 24 hours later. Not sure if this batch was defective or not, but I won't risk spending the money and buying them again to not have them work.",1
Leaked Battery Acid Every Time,Every single battery leaked battery acid after the first few charges or uses. Some while in the device it was powering and others while in the charging station. I thought perhaps it could be the charging station I was using so I purchased another brand but it didn't make a difference. I also never left the batteries in the charger once they were fully charged. This happened with the AAA batteries I purchased as well. And when I say leaked battery acid I'm talking about literal puddles of acid that would pool under the charging station or begin leaking from the device. I had to throw away a few children's toys as well as an xbox 1 controller. The skin on the tips of my fingers peeled away a few times as well from overexposure to the battery acid after having to clean so many surfaces and devices from it getting everywhere. Please don't buy this product They are completely ineffective and its simply an unsafe product. All in all purchasing these batteries cost me around 100+ in having to buy replacements for the devices they ruined.,1
Product Issues,This product wouldn't turn on nor charge and then store couldn't locate another one for me.,1
kids fun,Needs to be more simpler. parental contorl still need to be better,3
disappointment,These batteries are not lasting at all.... very short life on them... super disappointed...,1
Five Stars,excellent value,5
These batteries are the worst. They leak and they die ridiculously fast,"These batteries are the worst. They leak and they die ridiculously fast. I've replaced the battery in my kitchen clock twice in the past month. They last about 6 hours of use in a Wii remote. I usually like the amazon basics brand, but these batteries were a total waste.",1
Yay amazon!,"I was super excited to try these Amazon brand items and I'm sure glad they are branching out. I really just dislike Walmart and they terrible customer service. So typically I purchase batteries from BJ as I have two kids with tons of toys! Amazons prices for their batteries beats BJS by 5 to 6 depending on the size plus even at BJs you can't get a 48 pack of AA. The packaging was and simple which is fine because it does nothing for me. I must say that I like opening the package better with Amazon than normal batteries because I hate the thick plastic it's hard to cut and sometimes sharp, plus Amazons packaging is better for the environment. I just installed some batteries yesterday and I'll update as to how long they last",5
One Star,terrible,1
The price was great for these batteries but they don't last for very ...,The price was great for these batteries but they don't last for very long. For some items they don't work at all. It's like they just don't have a lot of power. I will not be getting these again.,3
Three Stars,The sound quality could be better. It's cute though...,3
Good luck!,"I had such a good experience with Amazon D batteries that I ordered some of their 2A batteries. The 2A batteries seemed much weaker out of the box. When I changed out a pair in my clock today, they had leaked and were stuck together. Making it difficult to remove them. I looked at the packaging for the new ones and noticed that they were made in Indonesia. After reading the reviews, it seems like it may be a matter of luck whether you get really good batteries for the price or really bad batteries at any price. I like to play blackjack so I will probably order one more time to see how lucky I get.",3
hate it,"not good, hate it , never buy it again, sucks. done",1
Waste of money,These batteries don't last long. Waste of money.,1
DOA,I got a bad batch. 4 of them arrived dead. I would have sent them back but I missed my window.,1
ok product,Would buy the cheaper one than I bought.The echo is a better product,3
Duracell batteries last longer than these.,Duracell batteries last longer than these.,3
Chronic issue with charging port,"The reviews on this on Amazon seemed awesome. Little did I know that there is a chronic problem with the port on these tablets. We just bought this for Christmas and went to charge it for the first time. Nothing. We already loaded (and paid for) several apps, and now we're out that money. Also the charging cord that came with it appears it has been used before - there's some wear at the edge of it. So I went online to see if I could find this issue and there it is - everywhere. This is a problem that has been around for years, but Android - who is the ultimate culprit, has failed to fix it at the source. When you plug in the charger, there's no 'click' so you know it's in place. It just slides in and out. We've had Apple products for several years and never had an issue, then the first Droid product we purchase can't even be charged from the beginning. This will be going back to BestBuy - and will buy another iPad Mini - costs more, but is much much more reliable.",1
Stick with a name brand,Worst batteries I've ever bought. Last about two weeks in a remote control.,1
Not for Comixology owners - only buy when on sale,"Bought it for $50 to replace my aging Kindle Fire HDX 7. Was excited about the size (1"" larger), faster processor, and expandable storage.I should have read the reviews. Comixology purchases only download to the internal storage, not external - 16 GB fills up after 8 downloads. The screen resolution is noticeably pixilated when reading text.Still, one star for value if bought for $50, one star for build (solid), and one if you're a Amazon Prime member & able to take advantage of video & music (which will download to external memory).",3
"Great Speaker, no need for the tech",Great Speaker but I really don't need the features. I just need good sound and don't really use anything besides that,3
Three Stars,Ok. Worth the price paid.,3
Serves the purpose,I only bought this as a travel companion when I fly. It was cheap and functional.,3
Five Stars,Great price and so far are lasting as long as the top brands.,5
... first started getting the Amazon basic batteries I really liked them. With recent purchases,"When I first started getting the Amazon basic batteries I really liked them. With recent purchases, they do not seem to last like they had, or maybe a mixed-bag (inconsistent with some lasting better than others). I have not done any tests, but feel some other brands may last longer. However, the price is hard to beat.",3
Great bumper,The tablet is for my son who is 2. That being said I noticed blotches on the screen. Never returned it due to it not making a difference to my son. I will have to upgrade him in question few years anyway. The bumper is amazing.,3
Three Stars,nothing bad to say but I can get others for cheaper price.,3
